dataset_key,relpath,role,source_url,downloaded,sha256,status
hf,raw/homayouni_fontes_2020/homayouni2020_sfjs_mfjs_jobsets.pdf,jobsets,https://fastmanufacturingproject.wordpress.com/wp-content/uploads/2020/05/fjspt_hf2020.pdf,2026-07-26,a12b5e2d6fa256120f482dcfb0202db7af55c857b516ec292a8f5f9e3f82d50e,raw_only
hf,raw/homayouni_fontes_2020/homayouni2020_traveltimes_2to8machines.pdf,traveltimes,https://fastmanufacturingproject.wordpress.com/wp-content/uploads/2020/05/2to8machines_layouts.pdf,2026-07-26,777997a4e6b8b5e7ee45ec24441052802da2431768dbfe58bedc326bd29ce312,raw_only
mk,raw/brandimarte_1993/brandimarte1993_mk.pdf,jobsets,https://fastmanufacturingproject.wordpress.com/wp-content/uploads/2020/05/brandimarte1993-2.pdf,2026-07-26,25e109593bc71cb730f5b802277fe346943f8fa4007e51fa85ed583e0d1ec469,raw_only
cb,raw/chambers_barnes_1996/chambersbarnes1996.pdf,jobsets,https://fastmanufacturingproject.wordpress.com/wp-content/uploads/2020/05/chambersbarnes1996-1.pdf,2026-07-26,8305e84641aec6099e1a44b39e57f87ee11f55136f2c3d39561715c1c50a3b77,raw_only
mk;cb,raw/homayouni_fontes_2020/homayouni2020_traveltimes_4to18machines.pdf,traveltimes,https://fastmanufacturingproject.wordpress.com/wp-content/uploads/2020/05/4to18machines_layouts-1.pdf,2026-07-26,9a84e3197c0e76ce6ecc8e2d7325c8970b9850531f2505103d51de7aec1e8bc9,raw_only
dn,raw/deroussi_norre_2010/deroussi2010_fjsp1to10.pdf,jobsets,https://fastmanufacturingproject.wordpress.com/wp-content/uploads/2019/04/fjspt_instances_deroussinorre2010-1.pdf,2026-07-26,828177104620561911cdd2bf68fbe83580c4d4f5bb574866aa72bce0c8ce67ff,raw_only
ku,raw/kumar_2011/kumar2011_exf.pdf,jobsets,https://fastmanufacturingproject.wordpress.com/wp-content/uploads/2020/05/fjspt_kumar2011.pdf,2026-07-26,225407cdf5a0ae1d0a27a988a39494e8dcc40ef8307327ad9f440f8e6a4a9937,raw_only
hf,extracted/hf/jobsets.txt,text_extraction,pdftotext -raw -enc UTF-8 (poppler; 源见同 dataset 的 jobsets 行),2026-08-17,59921c43eb5eda51bbeb9056d9d1ad7d37d57692fb6efff1cde956ce48b06894,converted
hf,extracted/hf/layouts_2to8.txt,text_extraction,pdftotext -raw -enc UTF-8 (poppler; 源见同 dataset 的 traveltimes 行),2026-08-17,34615d816212a11ce4c6713b82aeaaad6105903f98d78538d8d0b92aca3c9d21,converted
bu,raw/bilge_ulusoy_1995/bilge_ulusoy1995_jobsets_layouts.pdf,jobsets;layouts,https://fastmanufacturingproject.wordpress.com/wp-content/uploads/2023/02/jspt_instances-1.pdf,2026-08-17,7ea0c72ea3647b5a9659e9cda85ebb9b4176ef724fa82044d4edbf03c5b1254f,raw_only_scanned
